t, ch0, ch1, ch2, ch3, ch4, ch5, ch6, ch7, x, y
1486636456.6052673, 14, -10, 29, 11, 448, -109, -346, -110, 50, 1390
1486636456.6053324, 122, -37, 37, 15, 446, -106, -299, -92, 50, 1390
1486636456.6053586, 60, -8, 31, 1, 237, -96, -241, -92, 50, 1390
1486636456.605381, -57, 19, 8, -27, -51, -92, -197, -95, 50, 1390
1486636456.6054115, -70, 10, 9, -13, 70, -75, -163, -70, 50, 1390
1486636456.605438, 25, -17, 38, 25, 242, -56, -114, -43, 50, 1390
1486636456.6054587, 133, -25, 33, 22, 595, -123, -399, -99, 50, 1390
1486636456.6054778, 56, 4, 22, 0, -1, -38, -4, -27, 50, 1390
1486636456.6054974, -52, 24, 9, -24, -241, -28, 34, -22, 50, 1390
1486636456.6055164, -68, 11, 23, -6, 230, -115, -344, -110, 50, 1390
1486636456.605536, 44, -30, 29, 9, 137, 9, 88, 28, 50, 1390
1486636456.6055553, 130, -20, 24, 12, 116, 18, 117, 46, 50, 1390
1486636456.6055744, 39, 6, 29, -2, 237, -96, -241, -92, 50, 1390
1486636456.6055932, -72, 21, -1, -21, -310, 32, 163, 46, 50, 1390
1486636456.605612, -67, -2, 16, -1, -99, 43, 161, 59, 50, 1390
1486636456.6056309, 63, -26, 21, 21, 145, -56, -114, -43, 50, 1390
1486636456.60565, 124, -24, 28, 21, 111, 64, 181, 87, 50, 1390
1486636456.6056688, 27, 0, 30, 3, -171, 57, 183, 74, 50, 1390
1486636456.605688, -88, 30, 13, -11, -214, 68, 185, -22, 50, 1390
1486636456.6057096, -43, -1, 16, -6, -39, 61, 156, 72, 50, 1390
1486636456.6057298, 81, -26, 34, 12, 201, 73, 153, 95, 50, 1390
1486636456.6057677, 126, -9, 31, 18, 147, 72, 146, 84, 50, 1390
1486636456.605788, 23, 12, 24, -5, -154, 66, 150, 72, 50, 1390
1486636456.6069658, -94, 27, 6, -16, -161, 63, 141, 57, 50, 1390
1486636456.6070082, -35, 3, 15, -5, 22, 64, 119, 63, 50, 1390
1486636456.6070342, 94, -24, 32, 21, 259, 68, 116, 72, 50, 1390
1486636456.607056, 103, -16, 26, 18, 105, 64, 119, 70, 50, 1390
1486636456.6070766, 1, 11, 9, -13, -136, 57, 183, 74, 50, 1390
1486636456.6070964, -94, 24, 2, -15, -123, 52, 109, 49, 50, 1390
1486636456.6071157, -14, -3, 17, -3, 88, 51, 94, 59, 50, 1390
1486636456.6071348, 93, -25, 29, 25, 273, 58, 153, 95, 50, 1390
1486636456.607154, 94, -14, 36, 2, 124, 56, 96, 57, 50, 1390
1486636456.6071734, -17, 25, 8, -18, -107, 51, 93, 35, 50, 1390
1486636456.6071925, -84, 33, 12, -19, -87, 45, 141, 57, 50, 1390
1486636456.6072166, -1, -7, 29, 5, 128, 47, 77, 54, 50, 1390
1486636456.6072369, 108, -28, 41, 20, 293, 51, 73, 60, 50, 1390
1486636456.6072557, 93, -4, 30, 7, 110, 56, 88, 47, 50, 1390
1486636456.607275, -34, 26, 19, -19, -141, 48, 94, 40, 50, 1390
1486636456.6072943, -86, 19, 13, -10, -62, 46, 86, 45, 50, 1390
1486636456.6073132, 0, -12, 30, 5, 171, 51, 94, 59, 50, 1390
1486636456.6073327, 111, -33, 34, 26, 268, 54, 81, 59, 50, 1390
1486636456.6073523, 82, -2, 23, -2, 85, 50, 84, 48, 50, 1390
1486636456.6073744, -42, 20, 14, -13, -165, 52, 93, 35, 50, 1390
1486636456.6073942, -83, 15, 19, -4, -32, 38, 77, 45, 50, 1390
1486636456.607422, 3, -16, 28, 10, 222, 46, 65, 68, 50, 1390
1486636456.6074426, 124, -29, 45, 20, 263, 55, 74, 71, 50, 1390
1486636456.6077497, 69, 3, 27, 3, 57, 53, 84, 62, 50, 1390
1486636456.6077898, -58, 20, 11, -25, -154, 44, 85, 49, 50, 1390
1486636456.6078157, -75, 9, 8, -9, -1, 47, 80, 51, 50, 1390
1486636456.6078377, 30, -15, 30, 13, 243, 53, 70, 65, 50, 1390
1486636456.607859, 133, -31, 29, 15, 267, 59, 70, 68, 50, 1390
1486636456.6078792, 51, -2, 16, 6, 35, 50, 84, 48, 50, 1390
1486636456.6078992, -68, 31, 2, -23, -160, 43, 75, 37, 50, 1390
1486636456.6079192, -68, 3, 4, -23, 25, 50, 70, 41, 50, 1390
1486636456.6079388, 59, -27, 21, 8, 256, 50, 70, 68, 50, 1390
1486636456.6079588, 128, -29, 25, 17, 252, 52, 73, 60, 50, 1390
1486636456.6079788, 31, -2, 17, -3, -3, 56, 85, 51, 50, 1390
1486636456.6080027, -84, 19, 2, -20, -145, 53, 79, 43, 50, 1390
1486636456.608023, -59, 3, 23, -5, 49, 55, 73, 47, 50, 1390
1486636456.6080427, 64, -31, 32, 24, 273, 63, 75, 62, 50, 1390
1486636456.6080625, 129, -24, 25, 15, 226, 64, 78, 66, 50, 1390
1486636456.6080823, 33, -2, 16, 6, 35, 54, 79, 49, 50, 1390
1486636456.6081018, -78, 32, 7, -14, -118, 52, 80, 30, 50, 1390
1486636456.6081216, -47, -4, 20, 5, 68, 53, 77, 43, 50, 1390
1486636456.6081445, 81, -22, 21, 8, 256, 50, 70, 58, 50, 1390
1486636456.6081653, 116, -17, 22, 4, 196, 63, 72, 48, 50, 1390
1486636456.6081872, 20, 8, 15, -24, -81, 53, 84, 45, 50, 1390
1486636456.6082132, -89, 21, 8, -20, -145, 53, 79, 43, 50, 1390
1486636456.608237, -33, -19, 15, -10, 114, 55, 75, 43, 50, 1390
1486636456.608257, 91, -22, 27, 21, 283, 60, 103, 53, 50, 1390
1486636456.6086075, 115, -16, 30, 15, 226, 64, 78, 66, 50, 1390
1486636456.6086717, -3, 15, 10, -8, -89, 56, 104, 34, 50, 1390
1486636456.6086984, -104, 15, 11, -11, -126, 42, 111, 18, 50, 1390
1486636456.6087208, -13, -1, 18, -1, 68, 53, 77, 43, 50, 1390
1486636456.608742, 94, -33, 39, 26, 221, 49, 147, 46, 50, 1390
1486636456.6087716, 94, -12, 33, 8, -8, 48, 174, 38, 50, 1390
1486636456.6087916, -23, 29, 22, -9, -255, 34, 193, 45, 50, 1390
1486636456.6088114, -95, 20, 1, -25, -275, 26, 198, -1, 50, 1390
1486636456.6088307, -8, -4, 14, 4, -22, 24, 191, 12, 50, 1390
1486636456.6088502, 107, -30, 45, 29, 82, 35, 204, 29, 50, 1390
1486636456.6088696, 94, -9, 34, 13, -83, 38, 215, 25, 50, 1390
1486636456.6088898, -42, 34, 13, -10, -340, 26, 204, 3, 50, 1390
1486636456.6089096, -92, 14, 12, -9, -257, 27, 194, 0, 50, 1390
1486636456.6089287, 3, -10, 21, 14, 24, 32, 174, 16, 50, 1390
1486636456.6089482, 117, -30, 39, 27, 121, 41, 178, 31, 50, 1390
1486636456.6089675, 68, 6, 30, 1, -52, 48, 174, 38, 50, 1390
1486636456.6089869, -54, 20, 3, -25, -306, 40, 182, 8, 50, 1390
1486636456.6090064, -78, 11, 12, -6, -169, 34, 167, 14, 50, 1390
1486636456.609026, 20, -12, 31, 21, -147, 24, 191, 12, 50, 1390
1486636456.6090457, 130, -22, 45, 24, 149, 47, 165, 35, 50, 1390
1486636456.6090655, 52, 2, 24, 6, -79, 46, 171, 21, 50, 1390
1486636456.6090841, -61, 23, 16, -16, -312, 38, 161, 4, 50, 1390
1486636456.6091034, -81, 9, 4, -5, -131, 31, 156, 5, 50, 1390
1486636456.6098762, 27, -23, 33, 19, 123, 40, 154, 19, 50, 1390
1486636456.6099148, 27, -9, 36, 15, 33, -421, -388, -337, 50, 1390
1486636456.609944, 134, -22, 42, 17, 58, -412, -374, -327, 50, 1390
1486636456.6099663, 52, 15, 14, -1, -156, -408, -362, -219, 50, 1390
1486636456.6215777, -64, 34, 13, -26, -401, -419, -368, -348, 50, 1390
1486636456.6219444, -65, 13, 23, -13, -192, -416, -375, -346, 50, 1390
1486636456.6219811, 53, -11, 37, 14, 53, -407, -378, -332, 50, 1390
1486636456.635335, 139, -8, 43, 13, 54, -406, -372, -327, 50, 1390
1486636456.6357212, 61, 15, 29, -4, -216, -404, -362, -332, 50, 1390
1486636456.6365426, -81, 26, -3, -24, -367, -406, -363, -338, 50, 1390
1486636456.6428332, -60, 9, 16, -5, -142, -407, -372, -330, 50, 1390
1486636456.6435747, 56, -23, 33, 15, 87, -398, -368, -315, 50, 1390
1486636456.6446536, 128, -9, 44, 19, 62, -394, -356, -306, 50, 1390
1486636456.6579218, 40, 13, 27, -5, -277, -392, -352, -321, 50, 1390
1486636456.6586277, -84, 29, 5, -19, -342, -391, -347, -327, 50, 1390
1486636456.6590881, -45, -1, 18, -5, -123, -416, -375, -346, 50, 1390
1486636456.6728942, 77, -22, 34, 21, 122, -380, -362, -311, 50, 1390
1486636456.6737096, 121, -15, 36, 10, -12, -384, -355, -302, 50, 1390
1486636456.6742306, 17, 7, 21, -1, -287, -378, -362, -332, 50, 1390
1486636456.680355, -100, 26, 10, -15, -300, -374, -340, -319, 50, 1390
1486636456.6811955, -39, -1, 28, 1, -111, -379, -342, -307, 50, 1390
1486636456.6814294, 95, -29, 39, 25, 117, -369, -368, -315, 50, 1390
1486636456.6953087, 120, -8, 37, 18, -38, -364, -323, -295, 50, 1390
1486636456.6961806, 9, 15, 22, -14, -292, -369, -317, -310, 50, 1390
